,Hyperlink,Description
0,https://www.google.co.in/imghp?hl=en&tab=wi,Images
1,https://maps.google.co.in/maps?hl=en&tab=wl,Maps
2,https://play.google.com/?hl=en&tab=w8,Play
3,https://www.youtube.com/?gl=IN&tab=w1,YouTube
4,https://news.google.com/?tab=wn,News
5,https://mail.google.com/mail/?tab=wm,Gmail
6,https://drive.google.com/?tab=wo,Drive
7,https://www.google.co.in/intl/en/about/products?tab=wh,More »
8,http://www.google.co.in/history/optout?hl=en,Web History
9,/preferences?hl=en,Settings
10,https://accounts.google.com/ServiceLogin?hl=en&passive=true&continue=https://www.google.co.in/&ec=GAZAAQ,Sign in
11,/advanced_search?hl=en-IN&authuser=0,Advanced search
12,https://www.google.co.in/setprefs?sig=0_iainp66FeItC0cjvV3yB-fTHaCg%3D&hl=hi&source=homepage&sa=X&ved=0ahUKEwiYsb-Q2drzAhWVppUCHT3hByYQ2ZgBCAU,हिन्दी
13,https://www.google.co.in/setprefs?sig=0_iainp66FeItC0cjvV3yB-fTHaCg%3D&hl=bn&source=homepage&sa=X&ved=0ahUKEwiYsb-Q2drzAhWVppUCHT3hByYQ2ZgBCAY,বাংলা
14,https://www.google.co.in/setprefs?sig=0_iainp66FeItC0cjvV3yB-fTHaCg%3D&hl=te&source=homepage&sa=X&ved=0ahUKEwiYsb-Q2drzAhWVppUCHT3hByYQ2ZgBCAc,తెలుగు
15,https://www.google.co.in/setprefs?sig=0_iainp66FeItC0cjvV3yB-fTHaCg%3D&hl=mr&source=homepage&sa=X&ved=0ahUKEwiYsb-Q2drzAhWVppUCHT3hByYQ2ZgBCAg,मराठी
16,https://www.google.co.in/setprefs?sig=0_iainp66FeItC0cjvV3yB-fTHaCg%3D&hl=ta&source=homepage&sa=X&ved=0ahUKEwiYsb-Q2drzAhWVppUCHT3hByYQ2ZgBCAk,தமிழ்
17,https://www.google.co.in/setprefs?sig=0_iainp66FeItC0cjvV3yB-fTHaCg%3D&hl=gu&source=homepage&sa=X&ved=0ahUKEwiYsb-Q2drzAhWVppUCHT3hByYQ2ZgBCAo,ગુજરાતી
18,https://www.google.co.in/setprefs?sig=0_iainp66FeItC0cjvV3yB-fTHaCg%3D&hl=kn&source=homepage&sa=X&ved=0ahUKEwiYsb-Q2drzAhWVppUCHT3hByYQ2ZgBCAs,ಕನ್ನಡ
19,https://www.google.co.in/setprefs?sig=0_iainp66FeItC0cjvV3yB-fTHaCg%3D&hl=ml&source=homepage&sa=X&ved=0ahUKEwiYsb-Q2drzAhWVppUCHT3hByYQ2ZgBCAw,മലയാളം
20,https://www.google.co.in/setprefs?sig=0_iainp66FeItC0cjvV3yB-fTHaCg%3D&hl=pa&source=homepage&sa=X&ved=0ahUKEwiYsb-Q2drzAhWVppUCHT3hByYQ2ZgBCA0,ਪੰਜਾਬੀ
21,/intl/en/ads/,Advertising Programs
22,http://www.google.co.in/services/,Business Solutions
23,/intl/en/about.html,About Google
24,https://www.google.co.in/setprefdomain?prefdom=US&sig=K_bUhdakBd_fiVvUapPPI5b9D4-l0%3D,Google.com
25,/intl/en/policies/privacy/,Privacy
26,/intl/en/policies/terms/,Terms
